Campaign,Campaign Type,Campaign Status,Budget,Budget Type,Bid Strategy Type,Networks,Languages,Location,Location Type,Ad Schedule,Device,Bid Adjustment,Ad Rotation,Ad Group,Ad Group Status,Max CPC,Keyword,Match Type,Status,Ad Type,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Asset Type,Sitelink Text,Sitelink Description 1,Sitelink Description 2,Sitelink Final URL,Callout Text,Structured Snippet Header,Structured Snippet Values
Altru – Restorative – Search,Search,Paused,13.00,Daily,Maximize Conversions,Google search,en,"Salt Lake County, Utah; 5 mi around Murray, Utah",Presence,"Tue 10:00-20:00; Wed 09:00-21:00; Thu 09:00-21:00; Fri 09:00-21:00; Sat 09:00-16:00",,,Optimize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,Mobile,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,Tablet,-20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Buccal Release,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Fascia Facial,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Natural Face Lift,Enabled,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Buccal Release,,,buccal release salt lake city,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Buccal Release,,,buccal facial salt lake,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Buccal Release,,,buccal release near me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Buccal Release,,,buccal release utah,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Buccal Release,,,face massage salt lake city,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Buccal Release,,,facial release slc,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Fascia Facial,,,fascia facial release,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Fascia Facial,,,face fascia release,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Fascia Facial,,,structural facial release,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Fascia Facial,,,myofascial facial,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altru – Restorative – Search,,,,,,,,,,,,,,Natural Face Lift,,,natural face lift salt lake city,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
